Follies in Great Cities, Follies In Great Cities is the debut album by Coventry-based band Honeytrap. It was released on the 9th of June 2008 although it was available 3 days before this at a launch party at the local venue Taylor John's House. It was released on Tough Love Records.,5
Nizam al-Mulk, Abu Ali Hasan ibn Ali Tusi (April 10 1018 – October 14 1092) better known by his honorific title of Nizam al-Mulk (Persian: نظام‌الملک‎ Order of the Realm) was a Persian scholar and vizier of the Seljuq Empire. He held near absolute power for 20 years after the assassination of Alp Arslan in 1072.,5
Verbascum speciosum, Verbascum speciosum is a species of flowering plant in the figwort family known by the common name showy mullein. It is native to eastern Europe and western Asia and it is known in many other regions as an introduced species and roadside weed. It is a biennial herb forming a rosette of large leaves and an erect stem well exceeding one meter in maximum height. The leaves are 30 to 40 centimeters long and have smooth edges and pointed tips.,5
Splinters (1929 film), Splinters is a 1929 British musical comedy based on the stage revue Splinters. The revue tells the story of the origin of the concert party Splinters created by UK soldiers in France in 1915. This film was followed by two sequels Splinters in the Navy (1931) and Splinters in the Air (1937).,5
PZL-230 Skorpion, The PZL-230 Skorpion was a design for a Polish Air Force attack aircraft. The project was started in the late 1980s by the PZL (Polish State Aviation Works) and cancelled in 1994 due to a lack of funds. Skorpion would have had twin jet engines a fuselage afterbody blending into the wing and small canards behind the cockpit.,5
Maupiti Monarch, The Maupiti Monarch (Pomarea pomarea) was a species of bird in the Monarchidae family.It was endemic to French Polynesia.,5
Christian Academy in Japan, Christian Academy in Japan (クリスチャン・アカデミー・イン・ジャパン) (CAJ) established in 1950 is a private Christian school in the city of Higashi Kurume Tokyo Japan that provides a Christian American-style education in English. As of 2010 CAJ had over 465 students from kindergarten through high school. About 48% of the students are children of Christian missionaries who work for some 40 different mission organizations.,5
Brumby 600, The Brumby Aircraft Brumby 600 also known as the Brumby LSA 600 is an Australian single-engined two-seat training or touring cabin monoplane. The aircraft is built by Brumby Aircraft Australia as a production or kit aircraft at Cowra Airport near Cowra New South Wales Australia. Designed to meet regulations governing light sport aircraft (LSA) it was developed from the Goair Trainer.,5
Tony Teresa, Anthony Michael Tony Teresa (December 8 1933 – October 16 1984) was a professional American football halfback in the National Football League (NFL) and the American Football League (AFL). He played 1 game for the NFL's San Francisco 49ers in 1958 and one season for the AFL's Oakland Raiders.,5
Rodney Alexander, Rodney McKinnie Alexander (born December 5 1946) is an American politician and member of the Republican Party who has served as the Secretary of the Louisiana Department of Veterans Affairs since 2013; previously he was the U.S. Representative for Louisiana's 5th congressional district from 2003 to 2013. First elected as a Democrat he changed parties 30 minutes before the filing deadline on 6 August 2004 ensuring that no Democrat could run against him.,5
Livenka River, The Livenka (Russian: Ливенка) is a river in Oryol Oblast Russia. It is a left tributary of the Bystraya Sosna River. The river usually freezes over from the end of November until the end of March.The town of Livny is situated by the river.,5
Montmeneu, Montmeneu (Catalan pronunciation: [mumːəˈnew] locally: [momːeˈnew]) is a mountain in Catalonia Spain. It is located within the La Granja d'Escarp and Seròs municipal limits Segrià. Montmeneu is an isolated hill of the Catalan Central Depression making it visible over long distances.,5
Jesus & Mary Academy Darbhanga, Jesus & Mary Academy (Hindi: जीसस एंड मैरी अकादमी दरभंगा) is a private secondary school at Allalpatti Laheriasarai Darbhanga. Jesus & Mary Academy has affiliation with the Central Board of Secondary Education based in Darbhanga.the first batch of class 10 passed in 1999. Its a very good school and the students have a great record of securing high marks in Board Examinations. The alumni of the school include hundreds of IITians Doctors and other posts.,5
Cod Music, Cod Music is a young record label that aims at new musicians. It was founded in 2006.,5
Koji Ezumi, Koji Ezumi (江角 浩司 Ezumi Kōji born December 18 1978 in Hikawa Shimane) is a Japanese footballer. He plays for the J. League Division 1 team Omiya Ardija.,5
Bowery at Midnight, Bowery at Midnight (1942) is a horror film starring Bela Lugosi. Lugosi plays a psychology professor by day who secretly and under an assumed name runs a Bowery soup kitchen by night called the Bowery Friendly Mission.,5
Scrap Heaven, Scrap Heaven (スクラップ・ヘブン (Sukurappu Hebun)) is a 2005 film directed by Sang-il Lee. The movie was theatrically released to Japan in the year 2005. It was later released to the stores of North America in the year 2007.,5
HMS Cynthia (1796), HMS Cynthia was a ship sloop of unusual design launched in 1796. She took part in one medal-worthy boat action and participated in captures of a number of merchant vessels was present at two notable occasions the surrender of the Dutch fleet in the Vlieter Incident and the capture of Alexandria and her crew participated in two land attacks on forts. She was broken up in 1809.,5
Kazuhisa Kawahara (actor), Kazuhisa Kawahara (川原 和久 Kawahara Kazuhisa) is a Japanese actor from Kitakyushu Fukuoka Prefecture. He is known for his breakout role in Aibō where he portrays Section 7 Clerk Sergeant Keichi Itami as well as his appearances in the Initial D series as the voice of Seiji Iwaki and Kamen Rider Decade as the villain Apollo Geist. On June 26 2012 Kawahara announced his engagement to Kio Matsumoto eldest daughter of famous kabuki actor Matsumoto Kōshirō IX.,5
Seattle Mariners Hall of Fame, The Seattle Mariners Hall of Fame is an American museum and hall of fame it is located at Safeco Field in the SoDo district of downtown Seattle.,5
Burt-Stark Mansion, The Burt-Stark Mansion also known as Armistead Burt House in Abbeville South Carolina was the site of the last Council of War of cabinet members of the Confederate government. On May 2 1865 Jefferson Davis hoping to continue the struggle met unanimous opposition and realized the Confederate independence cause was lost.It was declared a National Historic Landmark in 1992 specifically for being where Jefferson Davis had his last council of war.,5
USS LST-565, USS LST-565 was a United States Navy LST-542-class tank landing ship in commission from 1944 to 1946.,5
Air Siam, Air Siam was an airline based in Thailand which operated from 1965 until 1976.,5
Chris Silvestro, Chris Silvestro (born 16 March 1979 in Bellshill) is a Scottish footballer currently without a club after being released by Raith Rovers.,5
Shayengan, Shayengan (Persian: شاينگان‎ also Romanized as Shāyengān; also known as Shānīgān Shāyegān and Shingan) is a village in Dowlatabad Rural District in the Central District of Ravansar County Kermanshah Province Iran. At the 2006 census its population was 167 in 38 families.,5
Bluffton Ohio, Bluffton originally known as Shannon is a village in Allen and Hancock counties in the U.S. state of Ohio. The population was 4125 at the 2010 census. Bluffton is home to Bluffton University a four-year educational institution affiliated with Mennonite Church USA. Bluffton is served by the Bluffton general aviation airport.,5
Pralhad Anant Dhond, Pralhad Anant Dhond (1908-2001) was an Indian painter and art educator.,5
McLoud High School, McLoud High School is a public secondary school located in Pottawatomie County in the town of McLoud Oklahoma. It instructs grades 9-12. It is a part of the McLoud Public School District which also includes McLoud Elementary School and McLoud Junior High. McLoud High School currently has 557 students enrolled giving it a student to teacher ratio of 14:1. Its mascot is the Redskins and its school colors are red black and white.,5
Cuchiniș River, The Cuchiniș River (Hungarian: Kökényes) is a tributary of the Trotuş River in Romania.,5
Jiwan Kada Ki Phool, Jiwan Kada Ki Phool (जीवन काँडा कि फूल) is a novel and Madan Puraskar winner written by Jhamak Ghimire about her own story.,5
Chaya Chobi, Chaya Chobi is an upcoming Dhallywood romantic film directed by Muhammad Mustafa Kamal Raaj and produced by Nine Entertainment. The film stars Arefin Shuvo and Purnima in lead roles. The music was composed by Arfin Rumey. The film is set to release in 4 October 2013.,5
4 Digital Group, 4 Digital Group was a media consortium in the United Kingdom. The group won the licence to operate the second national DAB radio multiplex as advertised by Ofcom in December 2006. The consortium led by Channel 4 Radio is a combination of the existing commercial radio operators and brands new to radio. The group said that they wish boost the up-take of digital radio in the United Kingdom in a similar manner to the growth of digital television since the introduction of Freeview.,5
Jakubka, Jakubka [jaˈkupka] is a village in the administrative district of Gmina Przykona within Turek County Greater Poland Voivodeship in west-central Poland.,5
Old Mosque Edirne, The Old Mosque (Turkish: Eski Camii) is an early 15th-century Ottoman mosque in Edirne Turkey.,5
Fairmont Acapulco Princess, The Fairmont Acapulco Princess is a resort hotel operated by Fairmont Hotels and Resorts located in Acapulco Guerrero Mexico. The hotel features eight tennis courts including a 6000-seat stadium court. It is the host of the Abierto Mexicano Telcel an annual event on the ATP Tour and the WTA Tour.,5
Dresden Academy of Fine Arts, The Dresden Academy of Fine Arts (German Hochschule für Bildende Künste Dresden) often abbreviated HfBK Dresden or simply HfBK is a vocational university of visual arts located in Dresden Germany. The present institution is the product of a merger between the famous Dresden Art Academy founded in 1764 the workplace and training ground of a number of influential European artists and another well-established local art school Hochschule für Werkkunst Dresden after World War II.,5
Daily Express Building Manchester, The Daily Express Building located on Great Ancoats Street Manchester is a Grade II* listed building which was designed by engineer Sir Owen Williams. It was built in 1939 to house one of three Daily Express offices; the other two similar buildings are located in London and Glasgow.The pre-World War II building is notable for its timeless quality and is often mistaken for being much younger than it is due to its futuristic avant garde appearance.,5
Guarapiranga River, The Guarapiranga River is a river of São Paulo state in southeastern Brazil.,5
Grand Traverse Bay, Grand Traverse Bay is a bay of Lake Michigan formed by part of Northern Michigan. The bay is 32 miles (51 km) long 10 miles (16 km) wide and up to 620 feet (190 m) deep in spots. It is divided into two arms by the Old Mission Peninsula. The entire bay is conterminous with the Grand Traverse Bay Bottomland Preserve.,5
Stratton–Cornelius House, The Stratton–Cornelius House is a historic house located in Portland Oregon United States. It is listed on the National Register of Historic Places and is also listed as a contributing resource in the National Register-listed King's Hill Historic District.,5
Pedro Diez Canseco, Pedro Diez Canseco Corbacho (January 31 1815 in Arequipa Peru – April 3 1893 in Chorrillos Peru) was a Peruvian soldier and politician who became interim President of Peru on three occasions: 1863 1865 and 1868. He was the brother of Francisco Diez Canseco and a great-grandfather of Fernando Belaunde Terry.,5
BettrLife, BettrLife is a private software development company based in Urbandale Iowa that provides a mhealth wellness solution by the same name.,5
Eusthenopteron, Eusthenopteron is a genus of prehistoric sarcopterygian (often called lobe-finned fishes) which has attained an iconic status from its close relationships to tetrapods. Early depictions of this animal show it emerging onto land however paleontologists now widely agree that it was a strictly aquatic animal. The genus Eusthenopteron is known from several species that lived during the Late Devonian period about 385 million years ago. Eusthenopteron was first described by J. F.,5
Les Laver, Les Laver (born 9 December 1900 date of death unknown) was an Australian rules footballer who played with Geelong in the VFL during the late 1920s and early 1930s.After five games in his debut season Laver managed just three more appearances for Geelong each in different seasons. In the 1940 VFL season he stepped in as caretaker coach of Geelong when Reg Hickey was unavailable and steered them to a win over Footscray and loss to Essendon.,5
The Royal Canadian Regiment Museum, The Royal Canadian Regiment Museum is a military museum located at Wolseley Barracks (the former CFB London) in London Ontario Canada the historic home of the The Royal Canadian Regiment (RCR).,5
George Thornewell, George Thornewell (8 July 1898 – 6 March 1986) was an English international footballer who played as an outside right.,5
Ebenezer Hills Jr. Farmhouse, Ebenezer Hills Jr. Farmhouse is a historic home located at Colonie in Albany County New York. It was built about 1785 and is a two story five bay center hall plan frame farmhouse on a stone foundation. It features a one story porch with a shed roof built about 1860 and supported by simple square columns and decorative brackets. Also on the property are three barns a shed and greenhouse.It was listed on the National Register of Historic Places in 1985.,5
Rogale Ełk County, Rogale [rɔˈɡalɛ] (German: Rogallen) is a village in the administrative district of Gmina Stare Juchy within Ełk County Warmian-Masurian Voivodeship in northern Poland. It lies approximately 8 kilometres (5 mi) south of Stare Juchy 14 km (9 mi) west of Ełk and 110 km (68 mi) east of the regional capital Olsztyn.Before 1945 the area was part of Germany (East Prussia).,5
Francesco Rapisarda, Francesco Rapisarda (born 4 June 1992) is an Italian footballer who plays for Italian fourth division club Lamezia.,5
Radawnica, Radawnica [radavˈnit͡sa] is a village in the administrative district of Gmina Złotów within Złotów County Greater Poland Voivodeship in west-central Poland. It lies approximately 11 kilometres (7 mi) north of Złotów and 117 km (73 mi) north of the regional capital Poznań.Before 1772 the area was part of Kingdom of Poland 1772-1945 Prussia and Germany. For more on its history see Złotów County.The village has a population of 630.,5
Kevin Mannix, Kevin Leese Mannix (born November 26 1949) is a politician business attorney and former chairman of the Republican Party in the U.S. state of Oregon.Mannix has served in both houses of the Oregon Legislative Assembly as a Democrat and later a Republican. He is better known however for his advocacy of statewide ballot measures—many of which were referred as a result of his efforts as a legislator—and as a candidate for the statewide offices of Attorney General and Governor.,5
Terry Le Sueur, Terence Augustine Le Sueur OBE was Chief Minister of Jersey between 2008 and 2011.He was born at Millbrook Saint Helier and was educated at De La Salle College Jersey and Oxford University where he was the King Charles Exhibitioner at Jesus College; and read physics. After being a teacher at De La Salle College Jersey he moved into a career in accountancy.He was first elected to the States of Jersey as Deputy for St Helier #3&4 in 1987 (re-elected 1990 1993 and 1996).,5
Jud Strunk, Jud Strunk (June 11 1936 - October 5 1981) was an American singer songwriter and comedian.,5
Mowtowr-e Daktar Lotfa, Mowtowr-e Daktar Lotfa (Persian: موتوردكترلطفي‎ also Romanized as Mowtowr-e Daktar Loṭfá) is a village in Jahadabad Rural District in the Central District of Anbarabad County Kerman Province Iran. At the 2006 census its population was 67 in 14 families.,5
Caseolus abjectus, Caseolus abjectus is a species of small air-breathing land snails terrestrial pulmonate gastropod mollusks in the family Hygromiidae the hairy snails and their allies. This species is endemic to Portugal.,5
Eois peruviensis, Eois peruviensis is a moth in the Geometridae family. It is found in Peru.,5
SITE Design Group, SITE Design Group is a consulting firm specializing in landscape architecture and urban planning. The firm is known for creating award-winning skateparks such as the Etnies Skatepark of Lake Forest. SITE Design Group created the Mat Hoffman Action Sports Park of Oklahoma City with BMX professional Mat Hoffman and a backyard skatepark for professional skateboarder Tony Hawk. The Solana Beach California firm operates in a worldwide capacity and has overseen the creation of over 100 parks.,5
Berheci River, The Berheci River is a tributary of the Bârlad River in Romania,5
New England Bible College, New England Bible College is a small four-year coeducational Bible college in South Portland Maine. There are on average 50 to 60 enrolled students each semester. </ref>,5
Scottish Socialist Voice, The Scottish Socialist Voice is a political newspaper in Scotland published by the Scottish Socialist Party.,5
Pluxemburg, Pluxemburg is an Independent record label based in Stockholm Sweden. Founded in 2000 by the members of Pluxus the former head of Slowball Records Jonas Sevenius and brothers Peter Ström and Martin Ström the label has released records of Pluxus Andreas Tilliander Fibes Oh Fibes! and Jeans Team.In 2004 Andreas Tilliander was awarded Best Dance/Club Album for his album World Industries at the Grammis Awards after being nominated both 2002 and 2003.,5
Independent Television Network, Independent Television Network Limited (also known as ITN Ltd) is a Sri Lankan state governed television and radio broadcaster located in Wickramasinhapura Battaramulla Sri Lanka. ITN a Shrama Abhimani Award winner (Oct 2009) broadcasts content to a wide demographic within Sri Lanka as well as the expatriate community. The programmes are broadcast in three languages; Sinhala Tamil and English. The ITN broadcast coverage extends to 99% of the island of Sri Lanka.,5
Taj Boyuk, Taj Boyuk (Persian: تاج بيوك‎ also Romanized as Tāj Boyūk; also known as Tājībeyūk Tājī Boūk and Tājī Boyūk) is a village in Mehmandust Rural District Kuraim District Nir County Ardabil Province Iran. At the 2006 census its population was 66 in 12 families.,5
Rory Stewart, Roderick 'Rory' James Nugent Stewart OBE FRSL MP (born 3 January 1973) is a British academic author diplomat and Conservative politician. Since May 2010 he has been the Member of Parliament for Penrith and The Border in the county of Cumbria North West England.Stewart was a senior coalition official in a province of occupied Iraq in 2003–04.,5
Talcum Powder (film), Talcum Powder (Original title: Borotalco) is a 1982 Italian comedy film written starring and directed by Carlo Verdone.The film received multiple David di Donatello awards in Italy for Best Film Best Actor Best Actress Best Score and Best Supporting Actor (to Angelo Infanti). It also won Silver Ribbons for Best Actress and for Best Score.,5
William Challen, William Challen (born 21 March 1786 in Pulborough Sussex; died ?) was an English first-class cricketer associated with Sussex who was active in the 1810s. He is recorded in one match in 1814 totalling 3 runs with a highest score of 2.,5
Conrad Hommel, Conrad Hommel (Mainz 16 February 1883 - Sielbeck 11 November 1971) was a German painter. He was best known for his portraits of leading German entrepreneurs such as Max Grundig Herbert Quandt and politicians such as Paul von Hindenburg Adolf Hitler and Hermann Göring.,5
The Carnivorous Carnival, The Carnivorous Carnival is the ninth novel in the children's novel series A Series of Unfortunate Events by Lemony Snicket.,5
Thomas Anderson (New Mexico politician), Thomas Anthony Anderson is an American politician and a Republican member of the New Mexico House of Representatives representing District 29 since January 2003.,5
Business Day (South Africa), Business Day is a national daily newspaper in South Africa published from Monday to Friday and also available as an e-paper. Based in Rosebank Johannesburg.,5
The Burial at Thebes, The Burial at Thebes: A version of Sophocles' Antigone is a play by Irish Nobel laureate Seamus Heaney based on the fifth century BC tragedy Antigone by Sophocles. It is also an opera by Dominique Le GendreAntigone the daughter of Oedipus King of Thebes Greece learns that her two brothers Polyneices and Etocles have killed each other fighting on different sides of a war.,5
Tupolev TB-6, Tupolev TB-6 (internal designation ANT-26; Russian: Туполев ТБ-6/АНТ-26) was a proposal for a 1930s heavy bomber that did not advance beyond blueprints. Inspired by the success of ANT-20/PS-124 Tupolev in 1929 began work on an even larger aircraft powered by 12 engines and with a takeoff weight of 70 tons (155000 lb). A 1/20 scale two-seat glider was built and test-flown to evaluate the aerodynamic soundness of the design and work was started on the first prototype.,5
Andersen Gabrych, Andersen Gabrych is an American comic book writer and actor. He was born on September 4 1973 in Tokyo Japan and raised in Chico California where he was known as Ande.,5
Chauke, Chauke (Punjabi:ਚਾਉਕੇ;also known as Chau or Chaoke) is a village of Malwa in the Bathinda district) of Punjab state India. It comes under the Maur Mandi assembly constituency.,5
The Ultimate Thrill, The Ultimate Thrill is a 1974 American thriller film directed by Robert Butler and starring Barry Brown Britt Ekland and Eric Braeden. It was also released under the title Ultimate Chase.,5
Di(e)ce, di[e]ce or di(e)ce (ｄｉ［ｅ］ｃｅ-ダイス-  di[e]ce –daisu-) is a manga written and illustrated by Naked Ape and Kana Yamamoto. Since 2007 it has been serialized in a shōjo manga magazine Monthly Comic Zero Sum. The story covers two best-friends Kazuki Naruse and Haruki Koutake which is on the advanced track of Seitoukou Academy. Though they are not connected by blood these two whose faces are so similar coincidentally have their 16th birthdays on November 11.,5
Action Stories, Action Stories was a multi-genre pulp magazine published between September 1921 and Fall 1950 with a brief hiatus at the end of 1932.As an adventure pulp it did not feature the horror and science fiction of other pulp magazines. Instead it focused on real-world adventure stories. At first mostly westerns but branching out into sports fiction war stories and adventures in exotic countries in 1937.Writers who appeared in Action Stories included Robert E.,5
Mójcza, Mójcza [ˈmui̯t͡ʂa] is a village in the administrative district of Gmina Daleszyce within Kielce County Świętokrzyskie Voivodeship in south-central Poland. It lies approximately 10 kilometres (6 mi) north-west of Daleszyce and 7 km (4 mi) south-east of the regional capital Kielce.The village has a population of 1100.,5
Mielkeana gelasima, Mielkeana gelasima is a species of moth of the Tortricidae family. It is found in Brazil (Parana).,5
Ice Kacang Puppy Love, Ice Kacang Puppy Love (Chinese: 初恋红豆冰) is a Malaysian film directed by and starring Ah Niu. It's a 2010 romantic comedy directed by Ah Niu who also co-written with Lai Chaing Ming the film tells the story of a young man portrayed by Ah Niu trying to convey his love to his long-time crush.,5
Gustave Satter, Gustave Satter (12 February 1832 – 1879) was an Austrian-Slovenian composer and pianist.,5
Sarromyia, Sarromyia is a genus of flies in the family Tachinidae.,5
Sharpe's Battle (novel), Sharpe's Battle is a novel of historical fiction a component of the Sharpe series written by Bernard Cornwell. The book is set during the Peninsular War in Spain in 1811.,5
Red 7, Red 7 was a short-lived rock group formed in 1984 in San Francisco California as a side project of British musician Mike Rutherford (Genesis Mike + the Mechanics). Rutherford produced their first album played bass on several songs and also sang in the choir on one song The Way. The three core members were Michael Becker Gene Stashuk and Paul Revelli. Don Gehmann mixed the single Relentless from the first CD David Tickle was the engineer.Red 7 recorded two albums.,5
Upper Dumbell Lake, Upper Dumbell Lake is a lake in Qikiqtaaluk Region Nunavut. It is the northernmost named lake of Canada and of the world. It is located 5.2 km (3.2 mi) southwest of Alert Canada's northernmost settlement on the coast of Lincoln Sea Arctic Ocean. The lake is roughly circular and 1 km (0.62 mi) in diameter.,5
Neonauclea, Neonauclea is a genus of flowering plants in the family Rubiaceae. It comprises about 65 species. Three of these were described as recently as 2008. Neonauclea is a genus of shrubs and trees They are indigenous to China India Southeast Asia and Indonesia. Neonauclea tsaiana has some limited use as lumber. Neonauclea was named in 1915 by Elmer Drew Merrill. The generic name is derived from the related genus Nauclea and the Greek word neos meaning new.,5
William Geissler, William Hastie Geissler (1894 Edinburgh - 1963) was a Scottish artist known for his watercolours of the natural world. He was one of the Edinburgh School and much of his earlier work came from sketching trips undertaken with other members of this group though he himself is sometimes described as a neglected member. Geissler and William Gillies both graduated from Edinburgh College of Art in 1922 having won scholarships and exhibited for several years with colleagues as The 1922 Group.,5
Galletué Lake, Galletué Lake also spelled as Gualletué Lake is a lake located in the Andes of the La Araucanía Region of southern Chile. It is surrounded by mountains on three sides. From the fourth side the eastern one originates the Biobío River.,5
Egira hiemalis, Egira hiemalis is a moth of the Noctuidae family. It is found from British Columbia south to California.The wingspan is about 36 mm. Adults are on wing from April to May.The larvae feed on Kunzia tridentata Abies grandis Tsuga heterophylla and Pseudotsuga species including Pseudotsuga menziesii.,5
